date,location,time,type,latitude,longitude
2024-06-10,Vantaa,17:33:18,Vahingontorjunta,60.298133721,25.006641332
2024-06-10,Helsinki,17:31:27,Rakennuspalo,60.166640739,24.943536799
2024-06-10,Kotka,17:24:20,Palohälytys,60.465520795,26.941152634
2024-06-10,Eura,17:18:22,Vahingontorjunta,61.130003763,22.135931764
2024-06-10,Tohmajärvi,17:13:53,Palohälytys,62.226235418,30.333057263
2024-06-10,Keminmaa,17:12:12,Maastopalo,65.798981364,24.54262919
2024-06-10,Vihti,17:11:01,Liikennevälinepalo,60.416791924,24.319858395
2024-06-10,Joensuu,17:10:37,Tieliikenneonnettomuus,62.602079226,29.759679275
2024-06-10,Kuopio,17:07:53,Rakennuspalo,62.892982923,27.688934744
2024-06-10,Kuopio,17:07:53,Rakennuspalo,62.892982923,27.688934744
2024-06-10,Kurikka,17:05:36,Tieliikenneonnettomuus,62.618893949,22.39877371
2024-06-10,Oulainen,17:00:29,Maastopalo,64.266570168,24.816231983
2024-06-10,Kotka,16:56:11,Palohälytys,60.465520795,26.941152634
2024-06-10,Joensuu,16:53:15,Vahingontorjunta,62.602079226,29.759679275
2024-06-10,Tampere,16:49:55,Vahingontorjunta,61.49774257,23.761290078
2024-06-10,Helsinki,16:40:24,Vahingontorjunta,60.166640739,24.943536799
2024-06-10,Juva,16:35:56,Palohälytys,61.897472595,27.857335654
2024-06-10,Virrat,16:32:44,Vahingontorjunta,62.23848456,23.773747693
2024-06-10,Helsinki,16:31:02,Ihmisen pelastaminen vedestä,60.166640739,24.943536799
2024-06-10,Savonlinna,16:29:18,Tieliikenneonnettomuus,61.869802657,28.87849829
2024-06-10,Pieksämäki,16:26:57,Rakennuspalo,62.298590826,27.155481907
2024-06-10,Rauma,16:19:47,Vahingontorjunta,61.128737875,21.511126919
2024-06-10,Nurmijärvi,16:15:07,Eläimen pelastaminen,60.460806119,24.807369231
2024-06-10,Mikkeli,16:04:44,Liikennevälinepalo,61.687726895,27.273224374
2024-06-10,Seinäjoki,15:55:52,Palohälytys,62.786662897,22.842279603
2024-06-10,Sauvo,15:53:43,Vahingontorjunta,60.344506715,22.691750338
2024-06-10,Jyväskylä,15:51:17,Eläimen pelastaminen,62.241677684,25.749498121
2024-06-10,Helsinki,15:45:43,Tieliikenneonnettomuus,60.166640739,24.943536799
2024-06-10,Salo,15:41:58,Rakennuspalo,60.384373601,23.126727127
2024-06-10,Espoo,15:40:12,Palohälytys,60.206376371,24.656728549
2024-06-10,Ypäjä,15:39:38,Vahingontorjunta,60.805227741,23.272438379
2024-06-10,Ulvila,15:38:43,Rakennuspalo,61.432652934,21.888033305
2024-06-10,Ulvila,15:38:43,Rakennuspalo,61.432652934,21.888033305
2024-06-10,Lieto,15:35:18,Vahingontorjunta,60.506876265,22.455932813
2024-06-10,Lahti,15:33:48,Palohälytys,60.980380564,25.654987962
2024-06-10,Hämeenlinna,15:31:38,Vahingontorjunta,60.996174323,24.464424988
2024-06-10,Espoo,15:28:45,Öljy- tai ympäristöonnettomuus maalla,60.206376371,24.656728549
2024-06-10,Nokia,15:27:56,Vahingontorjunta,61.478773769,23.508499404
2024-06-10,Turku,15:20:46,Tieliikenneonnettomuus,60.451690351,22.266866666
2024-06-10,Viitasaari,15:17:25,Tieliikenneonnettomuus,63.082792009,25.855167908
2024-06-10,Jyväskylä,15:09:27,Öljy- tai ympäristöonnettomuus maalla,62.241677684,25.749498121
2024-06-10,Aura,15:08:39,Vahingontorjunta,60.646591846,22.588991955
2024-06-10,Vaasa,15:07:54,Rakennuspalo,63.092588875,21.615874122
2024-06-10,Veteli,15:07:09,Vahingontorjunta,63.475287314,23.78862512
2024-06-10,Hyvinkää,15:03:58,Savuhavainto,60.631016885,24.861124319
2024-06-10,Kuopio,15:03:34,Tieliikenneonnettomuus,62.892982923,27.688934744
2024-06-10,Espoo,14:58:27,Tieliikenneonnettomuus,60.206376371,24.656728549
2024-06-10,Heinola,14:55:46,Vahingontorjunta,61.2052356,26.034841245
2024-06-10,Lahti,14:55:33,Vahingontorjunta,60.980380564,25.654987962
2024-06-10,Liperi,14:51:47,Tieliikenneonnettomuus,62.534480932,29.367861963
2024-06-10,Lohja,14:49:32,Öljy- tai ympäristöonnettomuus maalla,60.250916253,24.065782053
2024-06-10,Pöytyä,14:48:36,Tieliikenneonnettomuus,60.721369364,22.599537679
2024-06-10,Espoo,14:34:33,Öljy- tai ympäristöonnettomuus maalla,60.206376371,24.656728549
2024-06-10,Laitila,14:31:40,Vahingontorjunta,60.875860346,21.690233379
2024-06-10,Turku,14:30:33,Vahingontorjunta,60.451690351,22.266866666
2024-06-10,Oulu,14:29:22,Palohälytys,65.013784817,25.47209907
